,Links,job description
0,https://www.naukri.com/job-listings-Business-Development-Manager-Orange-Mantra-Gurgaon-Sohna-Road-6-to-10-years-120318006137?src=jobsearchDesk&sid=15208652144578&xp=1&px=1,"['Sales Management', 'Business Development Management', 'Direct Marketing', 'Client Retention', 'Cold Calling', 'New Business Development', 'Strategic Planning', 'Service Operations', 'Client Servicing', 'Advertising']"
1,https://www.naukri.com/job-listings-Business-Development-Manager-Digital-Web-Maffia-Bengaluru-Delhi-7-to-12-years-120318900511?src=jobsearchDesk&sid=15208652144578&xp=2&px=1,"['business development management', 'sales process', 'lead generation', 'revenue generation', 'cross selling', 'team handling', 'strategy', 'process management', 'strategic thinking', 'sales', 'b2b sales']"
2,https://www.naukri.com/job-listings-Sales-Business-Development-Manager-SNSGAP-International-Services-P-Ltd-Delhi-NCR-Sector-62-Noida-Noida-0-to-3-years-120318003279?src=jobsearchDesk&sid=15208652144578&xp=3&px=1,"['corporate sales', 'business development', 'key account management', 'market penetration', 'relationship building', 'sales & marketing']"
3,https://www.naukri.com/job-listings-Business-Finance-Manager-IRIS-SOFTWARE-Inc-Noida-Sector-142-Noida-6-to-10-years-120318000951?src=jobsearchDesk&sid=15208652144578&xp=4&px=1,"['business finance', 'financial analysis', 'financial reporting', 'budgeting', 'financial management', 'mba', 'cfa', 'MIS Reporting', 'Forecasting', 'Finance Manager']"
4,https://www.naukri.com/job-listings-Business-Development-Manager-Negolice-India-Ltd-M2K-Group-Delhi-NCR-3-to-7-years-311017007511?src=jobsearchDesk&sid=15208652144578&xp=5&px=1,"['UAV', 'Business Development Manager', 'aviation', 'client development']"
5,https://www.naukri.com/job-listings-Business-Development-Executive-manager-US-IT-Staffing-night-Shift-FCS-Software-Solutions-Limited-Noida-1-to-2-years-060218003841?src=jobsearchDesk&sid=15208652144578&xp=6&px=1,"['business development management', 'cold calling', 'night shift', 'us staffing', 'it recruitment', 'bdm', 'business development', 'it sales', 'software sales', 'erp sales', 'international sales', 'us sales']"
6,https://www.naukri.com/job-listings-Inside-Sales-business-Development-Manager-IT-Sales-noida-Wildnet-Technologies-Pvt-Ltd-Delhi-NCR-3-to-6-years-190218003524?src=jobsearchDesk&sid=15208652144578&xp=7&px=1,"['it sales', 'business generation', 'selling', 'us market', 'bdm', 'International Sales', 'international business development', 'inside sales']"
7,https://www.naukri.com/job-listings-BDE-Sr-BDE-Assistant-Manager-Manager-GM-business-Development-Investors-Clinic-Infratech-Pvt-Ltd-Noida-Sector-126-Noida-0-to-5-years-271217006630?src=jobsearchDesk&sid=15208652144578&xp=8&px=1,"['sales', 'marketing', 'revenue generation', 'business development', 'relationship building', 'direct marketing', 'lead generation', 'Direct Sales Executive', 'Retail Sales Executive']"
8,https://www.naukri.com/job-listings-Business-Development-Manager-InvestWell-Startup-Delhi-NCR-3-to-8-years-120318900367?src=jobsearchDesk&sid=15208652144578&xp=9&px=1,"['sales process', 'business development management', 'strategy', 'negotiation', 'financial markets', 'Sales', 'Business Development', 'BDM']"
9,https://www.naukri.com/job-listings-Manager-Business-Operations-Lex-innova-Gurgaon-6-to-11-years-090318900557?src=jobsearchDesk&sid=15208652144578&xp=10&px=1,"['business operations', 'admin', 'financial modeling', 'budgeting', 'forecasting', 'service delivery']"
10,https://www.naukri.com/job-listings-Business-Development-Manager-Pret-fab-Gurgaon-1-to-4-years-120318005189?src=jobsearchDesk&sid=15208652144578&xp=11&px=1,"['home furnishing', 'soft furnishings', 'Business Development', 'Business Development Manager', 'Sales', 'bd']"
11,https://www.naukri.com/job-listings-Business-Development-Manager-executive-it-Enterprise-Infrastr-Solution-Computer-Ware-India-Pvt-Ltd-Delhi-NCR-Green-Park-Extension-3-to-6-years-120318001025?src=jobsearchDesk&sid=15208652144578&xp=12&px=1,"['Business Development Management', 'Solution Sales', 'IT Networking', 'Key Accounts', 'Post Sales', 'CCNA', 'Software Solutions', 'IT Services', 'Technology Solutions', 'Sales Ability', 'Cloud Computing', 'Cloud Sales', 'Cloud Storage']"
12,https://www.naukri.com/job-listings-Business-Development-Executive-Manager-Adorn-Softech-Pvt-Ltd-Delhi-NCR-Malviya-Nagar-2-to-4-years-120318001410?src=jobsearchDesk&sid=15208652144578&xp=13&px=1,"['New Business Development', 'Digital Marketing', 'SEO', 'Online Bidding', 'Internet Marketing', 'Cold Calling', 'E - commerce', 'Middle East', 'Social Networking', 'Executive Management']"
13,https://www.naukri.com/job-listings-Business-Development-Managers-Shella-Consultants-Ahmedabad-Bengaluru-Chennai-Delhi-Mumbai-5-to-10-years-120318003043?src=jobsearchDesk&sid=15208652144578&xp=14&px=1,"['Business Development', 'Sales and Marketing', 'polymer', 'EVA']"
14,https://www.naukri.com/job-listings-Tekshapers-Hiring-for-Business-Development-Manager-Tekshapers-Software-Solutions-P-Limited-Noida-1-to-5-years-120318001674?src=jobsearchDesk&sid=15208652144578&xp=15&px=1,"['business development management', 'payment collection', 'client satisfaction', 'contract staffing']"
15,https://www.naukri.com/job-listings-Business-Development-Manager-RANDSTAD-INDIA-PVT-LTD-Delhi-Gurgaon-3-to-6-years-120318900807?src=jobsearchDesk&sid=15208652144578&xp=16&px=1,"['Business Development Management', 'B2B Sales', 'Lead Generation', 'Account Management', 'Sales Process', 'Credit Appraisal', 'Customer Support', 'Sales', 'BDM']"
16,https://www.naukri.com/job-listings-Manager-Business-Development-Delhi-NCR-1-to-5-years-120318900157?src=jobsearchDesk&sid=15208652144578&xp=17&px=1,"['business development management', 'sales', 'customer acquisition', 'primary', 'secondary research', 'consumer insights', 'Manager - Business Development']"
17,https://www.naukri.com/job-listings-Tekshapers-Hiring-for-Business-Development-Manager-US-Staffing-Tekshapers-Software-Solutions-P-Limited-Noida-1-to-6-years-120318001532?src=jobsearchDesk&sid=15208652144578&xp=18&px=1,"['Business Development Management', 'Cold Calling', 'H1B', 'Lead Generation', 'Ead', 'US Staffing', 'W2', 'Corp', 'Linkedin', 'Negotiation Skills']"
18,https://www.naukri.com/job-listings-Executive-Lead-Manager-Business-Development-domestic-Staffing-Select-Source-International-Private-Limited-Gurgaon-2-to-6-years-120318003236?src=jobsearchDesk&sid=15208652144578&xp=19&px=1,"['business development', 'follow ups', 'business development manager', 'business development executive', 'recruitment', 'domestic staffing', 'bd', 'client aquisition', 'cold calling']"
19,https://www.naukri.com/job-listings-Senior-Business-Development-Manager-only-Male-Candidates-Sparrow-Interactive-Pvt-Ltd-Delhi-NCR-Mohan-Co-operative-5-to-7-years-020118003755?src=jobsearchDesk&sid=15208652144578&xp=20&px=1,"['corporate sales', 'key account', 'institutional sales', 'Real Estate', 'Marketing Manager', 'Business Development Manager', 'Bdm']"
20,https://www.naukri.com/job-listings-Business-Development-Manager-Travel-Event-Company-Gurgaon-Integrated-Conferences-Events-Pvt-Ltd-MICE-Gurgaon-2-to-4-years-210917007029?src=jobsearchDesk&sid=15208652144578&xp=21&px=1,"['Client Relationship', 'Business Development', 'Client servicing', 'Corporate Sales', 'key account manager', 'MICE sales', 'Hotel sales', 'Business Development manager', 'sales manager', 'hotels sales']"
21,https://www.naukri.com/job-listings-Business-Development-Manager-Generix-Lifesciences-Pvt-Ltd-Delhi-NCR-3-to-8-years-120318002714?src=jobsearchDesk&sid=15208652144578&xp=22&px=1,"['Area Sales Management', 'Relationship Building']"
22,https://www.naukri.com/job-listings-Manager-Sr-Manager-Business-Development-Railways-Sales-Ceasefire-Industries-Private-Limited-Delhi-NCR-Mumbai-Bengaluru-Bhubaneshwar-Ludhiana-2-to-7-years-120318003653?src=jobsearchDesk&sid=15208652144578&xp=23&px=1,"['business development management', 'sales', 'presentation skills', 'business development', 'Railways']"
23,https://www.naukri.com/job-listings-Business-Development-Manager-Server-Boards-and-Networking-Products-Modi-Infosol-Pvt-Ltd-Mumbai-Delhi-NCR-Faridabad-3-to-7-years-120318006480?src=jobsearchDesk&sid=15208652144578&xp=24&px=1,"['Channel Sales', 'Business Development Management', 'Bdm', 'Networking Products', 'IT Hardware', 'IT Networking']"
24,https://www.naukri.com/job-listings-Business-Development-Manager-Female-Sales-Force-India-Noida-5-to-6-years-120318004528?src=jobsearchDesk&sid=15208652144578&xp=25&px=1,"['Bdm', 'Cross Selling']"
25,https://www.naukri.com/job-listings-Business-Development-Manager-Flipcarbon-Integrated-Solutions-Private-Limited-Bengaluru-Delhi-NCR-2-to-4-years-120318006092?src=jobsearchDesk&sid=15208652144578&xp=26&px=1,"['Market Research', 'Sales & Marketing', 'Business Development', 'Lead Generation', 'Competitor Analysis']"
26,https://www.naukri.com/job-listings-Senior-Manager-Manager-for-Business-Development-market-Research-Corp-Scan-Business-Solutions-Pvt-Ltd-Delhi-NCR-Sector-15-Dwarka-2-to-5-years-110318001403?src=jobsearchDesk&sid=15208652144578&xp=27&px=1,"['business development', 'market intelligence', 'market research', 'field survey', 'market survey', 'marketing strategies', 'marketing', 'social media marketing', 'sales']"
27,https://www.naukri.com/job-listings-Business-Development-Manager-preferably-Residing-in-Gurgaon-Unified-Credit-Solutions-Pvt-Ltd-Delhi-NCR-Gurgaon-7-to-10-years-160218002454?src=jobsearchDesk&sid=15208652144578&xp=28&px=1,"['b2b sales', 'new business', 'credit management', 'business development', 'client servicing', 'account manager', 'key account manager', 'key accounts', 'corporate sales', 'sales marketing']"
28,https://www.naukri.com/job-listings-Business-Development-Manager-Realistic-Realtors-Private-Limited-Delhi-NCR-2-to-7-years-190617003112?src=jobsearchDesk&sid=15208652144578&xp=29&px=1,"['Sales', 'Business Development Management', 'Channel Partners', 'Corporate Tie - ups', 'Proposals']"
29,https://www.naukri.com/job-listings-Credit-Manager-Business-Loans-Finance-CA-Bank-Delhi-NCR-1-to-2-years-120318901580?src=jobsearchDesk&sid=15208652144578&xp=30&px=1,"['Finance', 'Banking', 'Credit Processing', 'Credit Management', 'Ca', 'Communication Skills']"
30,https://www.naukri.com/job-listings-Business-Development-Manager-Interior-Decoration-Studio-Olives-Cre-Delhi-2-to-4-years-210117003310?src=jobsearchDesk&sid=15208652144578&xp=31&px=1,"['Marketing', 'Sales', 'Promotions', 'Business Development', 'client servicing']"
31,https://www.naukri.com/job-listings-Business-Development-Manager-sales-Females-Only-METROPOLITAN-LAW-ASSOCIATES-Delhi-0-to-5-years-030117006178?src=jobsearchDesk&sid=15208652144578&xp=32&px=1,"['Sales Management', 'Business Development Management', 'marketing management', 'sales management']"
32,https://www.naukri.com/job-listings-Business-Development-Manager-Disruptive-Edutech-Co-Unnati-Gurgaon-Delhi-Noida-3-to-8-years-100318001640?src=jobsearchDesk&sid=15208652144578&xp=33&px=1,"['Institutional Sales', 'Client relationship', 'Corporate sales', 'government sales', 'Key account management', 'Lead Generation', 'market mapping', 'Business Development', 'Business Alliances', 'education sales', 'B2B Sales', 'sales management', 'sales strategy']"
33,https://www.naukri.com/job-listings-Business-Development-Executive-Manager-Unimax-Delhi-Faridabad-Gurgaon-1-to-5-years-110318000868?src=jobsearchDesk&sid=15208652144578&xp=34&px=1,"['business development', 'business development executive', 'sales', 'marketing', 'Sales Executive', 'Marketing Executive', 'BDE', 'Educational Sales', 'BDM']"
34,https://www.naukri.com/job-listings-Business-Development-Manager-Bidder-with-2-Years-Experience-B2C-Marketing-Noida-Sector-10-Noida-2-to-5-years-100318002851?src=jobsearchDesk&sid=15208652144578&xp=35&px=1,"['Business Development', 'Business Development Manager', 'sales manager', 'marketing manager', 'marketing executive', 'sales officer']"
35,https://www.naukri.com/job-listings-Business-Development-Manager-EduSpace-Technologies-Pvt-Ltd-Mumbai-Delhi-NCR-Ahmedabad-1-to-5-years-100318002147?src=jobsearchDesk&sid=15208652144578&xp=36&px=1,"['Business Development Manager', 'Business Development Executive', 'software sales', 'software marketing', 'erp sales', 'Sales Manager', 'area sales manager']"
