,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
0,1,Toronto,Business Manager,University of Toronto,"Toronto, ON","$76,802 - $116,429 a year",http://www.indeed.ca/rc/clk?jk=0bb262b0af512462&fccid=986361104086c3ae&vjs=3,team_building business_manager compliance analytical_skills leadership_skills forecasting project_management staffing strategic_planning finance management_skills accounting now policies financial_management negotiation excel analytical hiring partnerships travel
1,2,Toronto,"Manager, Business and Administration",University of Toronto,"Toronto, ON","$83,702 - $130,294 a year",http://www.indeed.ca/rc/clk?jk=a7d530df087da5f0&fccid=986361104086c3ae&vjs=3,hospital budgeting analytical_skills leadership_skills communication_skills forecasting strategic_planning ms_office written_communication accounting policies medical dealing interpersonal_skills analytical hiring strong_analytical_skills operations travel
2,3,Toronto,Office Manager,Maple (getmaple.ca),"Toronto, ON","$40,000 - $45,000 a year",http://www.indeed.ca/company/Maple/jobs/Office-Manager-ddd33d7d32622630?fccid=5bdab7e62661eabc&vjs=3,healthcare primary people_management customer_service startup client_support policies medical customer_support user_experience operations
3,4,Toronto,Office Manager,King Taps,"Toronto, ON",no salary info,http://www.indeed.ca/company/King-Taps/jobs/Office-Manager-e72ff2b4d8a352c8?fccid=f6e1a3b2d7022062&vjs=3,admin recruitment
4,5,Toronto,Office Manager,Tuor Networks Inc,"Toronto, ON","$50,000 - $65,000 a year",http://www.indeed.ca/company/Tuor-Networks-Inc/jobs/Office-Manager-7bdcb6bfb6b68cb9?fccid=1b38164b7d5c0b5f&vjs=3,communication_skills accounting now policies recruitment
5,6,Toronto,Business Manager,ErinoakKids Centre for Treatment and Development,"Mississauga, ON",no salary info,http://www.indeed.ca/company/ErinoakKids-Centre-for-Treatment-and-Development/jobs/Business-Manager-d936c992c89de11f?fccid=f0024c6b2fb01b9c&vjs=3,strategy business_manager healthcare delivery primary relationship project_management staffing service_delivery business_management excel relationship_management
6,7,Toronto,Business Manager,Industrial Supplies,"Mississauga, ON",no salary info,http://www.indeed.ca/company/Trading-Company/jobs/Business-Manager-da91c4e0cbbc4ab1?fccid=3fce6600cf399836&vjs=3,business_manager sales_and_marketing market marketing time_management analytical_skills sales leadership_skills communication_skills policies industrial_products interpersonal_skills analytical verbal_communication operations
7,8,Toronto,Senior Finance Manager,Nelson,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=f3a2010f0406df27&fccid=5a72640452e9f66d&vjs=3,strategy communication_skills forecasting project_management finance accounting continuous_improvement mba interpersonal_skills excel finance_manager analytics analytical data_analytics
8,9,Toronto,Finance Manager,PwC,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=820175fc6dbb092f&fccid=5e964c4afc56b180&vjs=3,budgeting communication_skills forecasting consulting finance accounting excel finance_manager
9,10,Toronto,Office Manager,Palettera Inc.,"Markham, ON","$50,000 - $55,000 a year",http://www.indeed.ca/company/Palettera-Custom-Correspondences/jobs/Office-Manager-39f41557bef22ea4?fccid=1be53e7841b23383&vjs=3,sales finance events accounting proposals hiring sales_administration operations
