,Links,job description
0,https://www.naukri.com/job-listings-Lead-Data-Scientist-machine-Learning-Engineer-Tuple-Technologies-Delhi-NCR-3-to-8-years-050318007637?src=jobsearchDesk&sid=15208352634813&xp=1&px=1,"['Information Retrieval', 'Data Science', 'Machine Learning', 'R', 'Python', 'Data Mining', 'SQL', 'Spark', 'Analytics', 'Statistics']"
1,https://www.naukri.com/job-listings-Data-Scientist-5-7-Years-Gr-Noida-Techs-to-Suit-Inc-Greater-Noida-5-to-7-years-230218007943?src=jobsearchDesk&sid=15208352634813&xp=2&px=1,"['python', 'R', 'statistical', 'predictive', 'statistical modelling', 'statistics', 'regression']"
2,https://www.naukri.com/job-listings-Data-Scientist-IIT-NIT-BITS-VMock-Gurgaon-1-to-4-years-090318006158?src=jobsearchDesk&sid=15208352634813&xp=3&px=1,"['C', 'HTML', 'Laravel', 'CSS', 'C++', 'PHP', 'MySQL', 'Opencv', 'Python', 'Computer Vision', 'MySQL.']"
3,https://www.naukri.com/job-listings-Data-Scientist-II-Gurgaon-HR-Optum-a-UnitedHealth-Group-Company-Gurgaon-8-to-13-years-080318900802?src=jobsearchDesk&sid=15208352634813&xp=4&px=1,[]
4,https://www.naukri.com/job-listings-Machine-Learning-Data-Scientist-VMock-Gurgaon-1-to-3-years-090318006011?src=jobsearchDesk&sid=15208352634813&xp=5&px=1,"['C', 'HTML', 'Laravel', 'CSS', 'C++', 'PHP', 'MySQL', 'Opencv', 'Python', 'Computer Vision', 'customizations', 'Machine Learning']"
5,https://www.naukri.com/job-listings-Tech-Mahindra-is-Hiring-Data-Scientist-with-BI-Business-Analyst-Exp-Tech-Mahindra-Business-Services-Limited-Hyderabad-Noida-8-to-13-years-160218002478?src=jobsearchDesk&sid=15208352634813&xp=6&px=1,"['Project Life Cycle', 'Business Analysis', 'Requirement Analysis', 'Project Management', 'Technology Consulting', 'Management Consulting', 'SQL', 'Analytics', 'Strategy', 'Bfsi']"
6,https://www.naukri.com/job-listings-Data-Scientist-For-Immediate-Hiring-Confidential-Delhi-NCR-3-to-5-years-060318000469?src=jobsearchDesk&sid=15208352634813&xp=7&px=1,"['deep learning', 'natural language processing', 'nlp', 'data science', 'r', 'machine learning', 'python', 'java', 'logistic regression', 'statistical analysis', 'hadoop', 'spark']"
7,https://www.naukri.com/job-listings-Data-Analyst-Data-Scientist-noida-AgreeYa-Solutions-India-Pvt-Ltd-Noida-2-to-5-years-150616001022?src=jobsearchDesk&sid=15208352634813&xp=8&px=1,"['Data Analysis', 'data analyst', 'data science', 'data research', 'statistic']"
8,https://www.naukri.com/job-listings-Data-Scientist-VMock-Gurgaon-0-to-3-years-090318006410?src=jobsearchDesk&sid=15208352634813&xp=9&px=1,"['C', 'HTML', 'Laravel', 'CSS', 'C++', 'PHP', 'MySQL', 'Opencv', 'Python', 'Computer Vision', 'machine', 'deep learning', 'Natural Language Processing']"
9,https://www.naukri.com/job-listings-Senior-Manager-Data-Scientist-Banking-Domain-Iit-nit-bits-HuQuo-Bengaluru-Gurgaon-8-to-12-years-160218900659?src=jobsearchDesk&sid=15208352634813&xp=10&px=1,"['hive', 'data science', 'machine learning', 'python', 'r', 'sql', 'data mining', 'algorithms', 'd3.js', 'matlab', 'tableau', 'data management', 'Statistics']"
10,https://www.naukri.com/job-listings-Software-Developer-data-Scientist-r-phython-INGENIOUS-Corporate-SOLUTIONS-Pvt-Ltd-Delhi-NCR-1-to-3-years-090318004298?src=jobsearchDesk&sid=15208352634813&xp=11&px=1,"['R', 'Machine Learning', 'Data Mining', 'Hadoop', 'Statistical Analysis', 'Software Development', 'Verbal Communication', 'Communication Skills', 'ERP', 'CRM', 'MS CRM', 'MS Dynamics CRM', 'Python']"
